,dof_1,dof_2,dof_3,dof_4,dof_5,dof_6,dof_7,dof_8,dof_9,dof_10
base_value_0.85,0.35645613274389976,0.6536586092462395,0.8373922426147171,0.9315746846060355,0.9737120016483956,0.9906554829393255,0.9968956341371163,0.9990286119548144,0.9997119160235013,0.9999186129130934
base_value_0.86,0.35364240503384936,0.6503971720155699,0.8349855681936379,0.9301798690610832,0.9730258244019272,0.9903572198661906,0.9967782494397681,0.9989860916969884,0.9996975722449678,0.9999140666087638
base_value_0.87,0.35085894701839637,0.647152007763882,0.8325769385686943,0.9287757806503254,0.9723310577659596,0.9900534623257969,0.9966580052852915,0.9989422816964886,0.9996827072148946,0.9999093276214213
base_value_0.88,0.34810524902782436,0.643923035296958,0.8301665132480884,0.927362546632154,0.9716277352414965,0.9897441917839577,0.9965348731675068,0.9988971609272129,0.9996673091954735,0.99990439042477
base_value_0.89,0.3453808149370726,0.6407101738257,0.827754448435189,0.9259402932258968,0.9709158909499694,0.9894293904313227,0.9964088248911769,0.9988507083773059,0.999651366366006,0.9998992494152118
base_value_0.9,0.3426851616528134,0.6375133429641076,0.8253408971113103,0.924509145619018,0.9701955596138605,0.9891090411745951,0.9962798325735034,0.9988029030526828,0.9996348668248723,0.9998938989123116
base_value_0.91,0.34001781862566416,0.6343324627272673,0.8229260091155832,0.9230692279742727,0.9694667765378275,0.9887831276278278,0.9961478686455191,0.9987537239804914,0.9996177985914974,0.9998883331592785
base_value_0.92,0.33737832738602325,0.6311674535293516,0.8205099312220518,0.9216206634368163,0.9687295775903146,0.9884516341037999,0.9960129058533802,0.9987031502125142,0.9996001496083137,0.9998825463234607
base_value_0.93,0.3347662411021358,0.6280182361816273,0.8180928072141274,0.9201635741412676,0.9679839991856334,0.9881145456054697,0.9958749172595631,0.9986511608285102,0.9995819077427213,0.999876532496856
base_value_0.94,0.3321811241591037,0.624884731890474,0.8156747779565175,0.918698081218728,0.967230078266498,0.9877718478175073,0.9957338762439653,0.9985977349394981,0.9995630607890432,0.9998702856966348
base_value_0.95,0.32962255175761335,0.6217668622554134,0.8132559814647456,0.9172243048037543,0.9664678522869998,0.9874235270979028,0.9955897565049153,0.9985428516909802,0.9995435964704757,0.9998637998656781
base_value_0.96,0.3270901095312704,0.6186645492671474,0.8108365529723687,0.915742364041288,0.9656973591960095,0.9870695704696529,0.9954425320600943,0.9984864902661099,0.9995235024410354,0.9998570688731275
base_value_0.97,0.32458339318148055,0.6155777153056057,0.8084166249959941,0.9142523770935397,0.9649186374209903,0.9867099656125213,0.9952921772473701,0.9984286298888004,0.9995027662874987,0.9998500865149498
base_value_0.98,0.32210200812889556,0.6125062831380046,0.8059963273981928,0.9127544611468303,0.9641317258522115,0.9863447008548759,0.9951386667255485,0.9983692498267788,0.999481375531338,0.9998428465145119
base_value_0.99,0.319645569180515,0.609450175916914,0.803575787448398,0.911248732418387,0.9633366638273508,0.9859737651656005,0.9949819754750426,0.9983083293945823,0.9994593176306499,0.9998353425231702
base_value_1.0,0.31721370021157635,0.6064093171783353,0.8011551298818768,0.9097353061630968,0.9625334911164707,0.9855971481460803,0.9948220787984623,0.9982458479565017,0.9994365799820774,0.9998275681208703
base_value_1.01,0.31480603386143613,0.6033836308397876,0.7987344769568553,0.9082142966802164,0.96172224790736,0.9852148400222615,0.9946589523211276,0.9981817849294686,0.9994131499227261,0.9998195168167584
base_value_1.02,0.31242221124269376,0.6003730411984045,0.7963139485098759,0.9066858173200394,0.9609029747912304,0.984826831636783,0.9944925719915069,0.998116119785889,0.999389014732072,0.9998111820498056
base_value_1.03,0.3100618816628472,0.59737747292904,0.7938936620094561,0.9051499804905202,0.9600757127487541,0.9844331144411816,0.9943229140815827,0.9980488320564246,0.9993641616338627,0.9998025571894403
base_value_1.04,0.30772470235782945,0.5943968510823838,0.7914737326081234,0.903606897663856,0.9592405031364365,0.9840336804881686,0.9941499551871459,0.9979799013327206,0.9993385777980099,0.9997936355361937
base_value_1.05,0.3054103382367951,0.5914311010830862,0.7890542731928871,0.9020566793830264,0.9583973876733115,0.9836285224239771,0.9939736722280226,0.997909307270082,0.999312250342475,0.9997844103223541
base_value_1.06,0.30311846163759093,0.5884801487278918,0.7866353944342148,0.9004994352682903,0.9575464084279527,0.9832176334807811,0.9937940424482332,0.9978370295900981,0.9992851663351447,0.9997748747126316
base_value_1.07,0.30084875209234996,0.5855439201837829,0.7842172048335655,0.8989352740236427,0.9566876078057878,0.9828010074691834,0.9936110434160875,0.9977630480832171,0.9992573127956995,0.9997650218048327
base_value_1.08,0.29860089610270746,0.5826223419861333,0.7817998107695444,0.8973643034432283,0.9558210285367126,0.9823786387707748,0.993424653024216,0.9976873426112695,0.9992286766974715,0.9997548446305439
base_value_1.09,0.2963745869241494,0.579715341036869,0.7793833165427272,0.895786630417715,0.9549467136629919,0.9819505223307609,0.9932348494895401,0.9976098931099424,0.9991992449692946,0.9997443361558244
base_value_1.1,0.2941695243590434,0.5768228446026394,0.7769678244192054,0.8942023609406268,0.9540647065274416,0.9815166536506572,0.9930416113531838,0.9975306795912057,0.9991690044973438,0.9997334892819073
base_value_1.11,0.29198541455792126,0.5739447803129989,0.7745534346729053,0.8926116001146339,0.9531750507618849,0.9810770287810542,0.9928449174803258,0.9974496821456879,0.9991379421269657,0.9997222968459109
base_value_1.12,0.2898219698286133,0.5710810761585934,0.7721402456267201,0.8910144521578053,0.952277790275873,0.9806316443144473,0.992644747059997,0.997366880945006,0.9991060446644986,0.9997107516215549
base_value_1.13,0.2876789084528565,0.5682316604893614,0.7697283536925086,0.8894110204098188,0.9513729692456654,0.9801804973781353,0.9924410796048225,0.997282256244048,0.9990732988790818,0.9996988463198885
base_value_1.14,0.2855559545100109,0.56539646201274,0.7673178534099913,0.8878014073381321,0.9504606321034609,0.9797235856271845,0.9922338949507109,0.9971957883832069,0.9990396915044559,0.9996865735900228
base_value_1.15,0.2834528377075576,0.5625754097918817,0.7649088374845943,0.8861857145441145,0.9495408235268752,0.9792609072374588,0.9920231732564917,0.9971074577905711,0.999005209240751,0.9996739260198727
base_value_1.16,0.2813692932180467,0.5597684332438785,0.7625013968242734,0.8845640427691382,0.9486135884286564,0.9787924608987154,0.9918088950035031,0.9970172449840677,0.9989698387562645,0.999660896136905
base_value_1.17,0.2793050615222086,0.5569754621379972,0.7600956205753563,0.8829364919006307,0.9476789719466325,0.9783182458077639,0.9915910409951306,0.9969251305735612,0.9989335666892286,0.9996474764088932
base_value_1.18,0.2772598882579298,0.5541964265939217,0.7576915961574372,0.8813031609780891,0.9467370194338873,0.977838261661692,0.9913695923562985,0.9968310952629076,0.9988963796495651,0.9996336592446796
base_value_1.19,0.27523352407483437,0.551431257080004,0.7552894092973595,0.8796641481990539,0.9457877764491552,0.9773525086511521,0.9911445305329161,0.9967351198519652,0.9988582642206305,0.9996194369949434
base_value_1.2,0.2732257244942108,0.5486798844115255,0.7528891440623162,0.8780195509250461,0.9448312887474323,0.9768609874537137,0.9909158372912777,0.9966371852385613,0.9988192069609477,0.9996048019529741
base_value_1.21,0.27123624977404437,0.5459422397489652,0.7504908828920979,0.876369465687465,0.9438676022707975,0.976363699227277,0.9906834947174215,0.9965372724204163,0.9987791944059276,0.9995897463554527
base_value_1.22,0.26926486477893186,0.5432182545962789,0.748094706630521,0.8747139881934478,0.9428967631394374,0.9758606456035485,0.9904474852164439,0.9964353624970262,0.9987382130695777,0.9995742623832361
base_value_1.23,0.26731133885465086,0.5405078607991824,0.7457006945560596,0.8730532133316925,0.9419188176428719,0.9753518286815793,0.9902077915117753,0.996331436671502,0.9986962494461993,0.9995583421621489
base_value_1.24,0.2653754457071924,0.5378109905434492,0.743308924411711,0.8713872351782415,0.9409338122313733,0.9748372510213643,0.9899643966444147,0.9962254762523688,0.998653290012072,0.9995419777637791
base_value_1.25,0.26345696328605506,0.5351275763532124,0.7409194724341199,0.8697161470022297,0.9399417935075763,0.9743169156375017,0.9897172839721263,0.9961174626553237,0.9986093212271265,0.9995251612062789
base_value_1.26,0.26155567367161325,0.5324575510892768,0.7385324133819833,0.8680400412715941,0.9389428082182733,0.9737908259929126,0.9894664371685984,0.9960073774049543,0.9985643295366041,0.9995078844551709
base_value_1.27,0.25967136296639515,0.5298008479474389,0.7361478205637635,0.8663590096587471,0.9379369032463893,0.9732589859926211,0.9892118402225667,0.9958952021364152,0.9985183013727047,0.9994901394241577
base_value_1.28,0.2578038211900934,0.5271574004568158,0.7337657658647294,0.8646731430462136,0.9369241256031361,0.9727213999775935,0.9889534774369018,0.995780918597069,0.9984712231562209,0.9994719179759366
base_value_1.29,0.25595284217815817,0.5245271424781814,0.7313863197733463,0.8629825315322301,0.935904522420336,0.9721780727186353,0.9886913334276622,0.9956645086480842,0.9984230812981606,0.9994532119230178
base_value_1.3,0.2541182234838193,0.5219100082023125,0.7290095514070394,0.8612872644363092,0.9348781409429157,0.9716290094103477,0.9884253931231155,0.9955459542659983,0.9983738622013554,0.9994340130285466
base_value_1.31,0.25229976628339523,0.5193059321483413,0.7266355285373456,0.8595874303047676,0.9338450285215641,0.9710742156651413,0.9881556417627259,0.9954252375442412,0.9983235522620573,0.9994143130071289
base_value_1.32,0.2504972752847564,0.5167148491621183,0.7242643176144776,0.8578831169162178,0.9328052326055515,0.970513697507307,0.9878820648961112,0.9953023406946216,0.9982721378715211,0.9993941035256609
base_value_1.33,0.24871055863880676,0.5141366944145802,0.7218959837913144,0.856174411287025,0.9317588007357037,0.9699474613671449,0.9876046483819698,0.9951772460487774,0.9982196054175747,0.999373376204161
base_value_1.34,0.2469394278538719,0.5115714034001302,0.7195305909468379,0.8544613996767282,0.9307057805375325,0.9693755140751479,0.9873233783869785,0.9950499360595887,0.9981659412861749,0.9993521226166053
base_value_1.35,0.24518369771286574,0.5090189119350228,0.7171682017090348,0.8527441675934262,0.9296462197145131,0.9687978628562426,0.9870382413846603,0.9949203933025548,0.9981111318629514,0.9993303342917657
base_value_1.36,0.24344318619313288,0.5064791561557569,0.7148088774772738,0.851022799799129,0.9285801660415101,0.9682145153240854,0.9867492241542274,0.9947886004771368,0.9980551635347361,0.9993080027140503
base_value_1.37,0.24171771438885403,0.5039520725174806,0.7124526784441806,0.849297380315074,0.9275076673583454,0.9676254794754138,0.986456313779395,0.9946545404080644,0.9979980226910794,0.9992851193243474
base_value_1.38,0.2400071064359217,0.5014375977923989,0.7100996636170224,0.8475679924270081,0.9264287715635074,0.9670307636844513,0.9861594976471708,0.9945181960466081,0.997939695725753,0.9992616755208698
base_value_1.39,0.23831118943917795,0.49893566906819287,0.7077498908386153,0.8458347186904359,0.9253435266079957,0.9664303766973681,0.9858587634466188,0.9943795504718171,0.9978801690382392,0.999237662660003
base_value_1.4,0.2366297934019369,0.4964462237464453,0.7054034168077712,0.8440976409358326,0.9242519804892999,0.9658243276267946,0.9855540991675993,0.9942385868917251,0.9978194290352062,0.9992130720571542
base_value_1.41,0.23496275115769039,0.4939691995410743,0.7030602970992974,0.8423568402738246,0.9231541812455111,0.9652126259463882,0.985245493099485,0.9940952886445199,0.9977574621319698,0.9991878949876029
